Index,Highest Charting Position,Number of Times Charted,Week of Highest Charting,Song Name,Streams,Artist,Artist Followers,Song ID,Genre,Release Date,Weeks Charted,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms),Valence,Chord
1,1,8,2021-07-23--2021-07-30,Beggin',"48,633,449.00",Måneskin,"3,377,762.00",3Wrjm47oTz2sjIgck11l5e,"['indie rock italiano', 'italian pop']",12/8/2017,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11",100.00,0.71,0.80,-4.81,0.05,0.13,0.36,134.00,"211,560.00",0.59,B
2,2,3,2021-07-23--2021-07-30,STAY (with Justin Bieber),"47,248,719.00",The Kid LAROI,"2,230,022.00",5HCyWlXZPP0y6Gqq8TgA20,['australian hip hop'],7/9/2021,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16",99.00,0.59,0.76,-5.48,0.05,0.04,0.10,169.93,"141,806.00",0.48,C#/Db
3,1,11,2021-06-25--2021-07-02,good 4 u,"40,162,559.00",Olivia Rodrigo,"6,266,514.00",4ZtFanR9U6ndgddUvNcjcG,['pop'],5/21/2021,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21",99.00,0.56,0.66,-5.04,0.15,0.34,0.08,166.93,"178,147.00",0.69,A
4,3,5,2021-07-02--2021-07-09,Bad Habits,"37,799,456.00",Ed Sheeran,"83,293,380.00",6PQ88X9TkUIAUIZJHW2upE,"['pop', 'uk pop']",6/25/2021,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",98.00,0.81,0.90,-3.71,0.03,0.05,0.36,126.03,"231,041.00",0.59,B
5,5,1,2021-07-23--2021-07-30,INDUSTRY BABY (feat. Jack Harlow),"33,948,454.00",Lil Nas X,"5,473,565.00",27NovPIUIRrOZoCHxABJwK,"['lgbtq+ hip hop', 'pop rap']",7/23/2021,2021-07-23--2021-07-30,96.00,0.74,0.70,-7.41,0.06,0.02,0.05,150.00,"212,000.00",0.89,D#/Eb
6,1,18,2021-05-07--2021-05-14,MONTERO (Call Me By Your Name),"30,071,134.00",Lil Nas X,"5,473,565.00",67BtfxlNbhBmCDR2L2l8qd,"['lgbtq+ hip hop', 'pop rap']",3/31/2021,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02",97.00,0.61,0.51,-6.68,0.15,0.30,0.38,178.82,"137,876.00",0.76,G#/Ab
7,3,16,2021-05-14--2021-05-21,Kiss Me More (feat. SZA),"29,356,736.00",Doja Cat,"8,640,063.00",748mdHapucXQri7IAO8yFK,"['dance pop', 'pop']",4/9/2021,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16",94.00,0.76,0.70,-3.54,0.03,0.24,0.12,110.97,"208,867.00",0.74,G#/Ab
8,2,10,2021-06-18--2021-06-25,Todo De Ti,"26,951,613.00",Rauw Alejandro,"6,080,597.00",4fSIb4hdOQ151TILNsSEaF,"['puerto rican pop', 'trap latino']",5/20/2021,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28",95.00,0.78,0.72,-3.61,0.05,0.31,0.09,127.95,"199,604.00",0.34,D#/Eb
9,3,8,2021-06-18--2021-06-25,Yonaguni,"25,030,128.00",Bad Bunny,"36,142,273.00",2JPLbjOn0wPCngEot2STUS,"['latin', 'reggaeton', 'trap latino']",6/4/2021,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11",96.00,0.64,0.65,-4.60,0.12,0.28,0.14,179.95,"206,710.00",0.44,C#/Db
10,8,10,2021-07-02--2021-07-09,I WANNA BE YOUR SLAVE,"24,551,591.00",Måneskin,"3,377,762.00",4pt5fDVTg5GhEvEtlz9dKk,"['indie rock italiano', 'italian pop']",3/19/2021,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28",95.00,0.75,0.61,-4.01,0.04,0.00,0.18,132.51,"173,347.00",0.96,C#/Db
